date,zone,demand_mw,load_shed_mw
01-01-2023,Dhaka,3119,0
01-01-2023,Chittagong,948,0
01-01-2023,Khulna,1105,0
01-01-2023,Rajshahi,930,0
01-01-2023,Comilla,798,0
01-01-2023,Mymensingh,761,0
01-01-2023,Sylhet,341,0
01-01-2023,Barisal,260,0
01-01-2023,Rangpur,613,0
02-01-2023,Dhaka,3354,0
02-01-2023,Chittagong,894,0
02-01-2023,Khulna,1129,0
02-01-2023,Rajshahi,811,0
02-01-2023,Comilla,828,0
02-01-2023,Mymensingh,769,0
02-01-2023,Sylhet,355,0
02-01-2023,Barisal,255,0
02-01-2023,Rangpur,642,0
03-01-2023,Dhaka,3397,0
03-01-2023,Chittagong,1010,0
03-01-2023,Khulna,1139,0
03-01-2023,Rajshahi,946,0
03-01-2023,Comilla,789,0
03-01-2023,Mymensingh,785,0
03-01-2023,Sylhet,349,0
03-01-2023,Barisal,265,0
03-01-2023,Rangpur,654,0
04-01-2023,Dhaka,3491,0
04-01-2023,Chittagong,940,0
04-01-2023,Khulna,1124,0
04-01-2023,Rajshahi,973,0
04-01-2023,Comilla,797,0
04-01-2023,Mymensingh,822,0
04-01-2023,Sylhet,342,0
04-01-2023,Barisal,273,0
04-01-2023,Rangpur,658,0
05-01-2023,Dhaka,3430,0
05-01-2023,Chittagong,976,0
05-01-2023,Khulna,1148,0
05-01-2023,Rajshahi,936,0
05-01-2023,Comilla,813,0
05-01-2023,Mymensingh,821,0
05-01-2023,Sylhet,343,0
05-01-2023,Barisal,262,0
05-01-2023,Rangpur,670,0
06-01-2023,Dhaka,2880,0
06-01-2023,Chittagong,907,0
06-01-2023,Khulna,1069,8730
06-01-2023,Rajshahi,873,0
06-01-2023,Comilla,773,0
06-01-2023,Mymensingh,774,0
06-01-2023,Sylhet,332,0
06-01-2023,Barisal,259,0
06-01-2023,Rangpur,620,0
07-01-2023,Dhaka,3349,0
07-01-2023,Chittagong,930,0
07-01-2023,Khulna,1155,0
07-01-2023,Rajshahi,910,0
07-01-2023,Comilla,838,0
07-01-2023,Mymensingh,818,0
07-01-2023,Sylhet,356,0
07-01-2023,Barisal,275,0
07-01-2023,Rangpur,638,0
08-01-2023,Dhaka,3325,134
08-01-2023,Chittagong,953,35
08-01-2023,Khulna,1169,47
08-01-2023,Rajshahi,956,17
08-01-2023,Comilla,825,0
08-01-2023,Mymensingh,822,101
08-01-2023,Sylhet,355,62
08-01-2023,Barisal,262,0
08-01-2023,Rangpur,672,84
09-01-2023,Dhaka,3352,401
09-01-2023,Chittagong,1018,90
09-01-2023,Khulna,1206,107
09-01-2023,Rajshahi,977,59
09-01-2023,Comilla,836,32
09-01-2023,Mymensingh,790,101
09-01-2023,Sylhet,359,62
09-01-2023,Barisal,269,0
09-01-2023,Rangpur,637,100
10-01-2023,Dhaka,3342,0
10-01-2023,Chittagong,977,0
10-01-2023,Khulna,1183,0
10-01-2023,Rajshahi,961,100
10-01-2023,Comilla,836,0
10-01-2023,Mymensingh,848,24
10-01-2023,Sylhet,357,0
10-01-2023,Barisal,273,0
10-01-2023,Rangpur,653,55
11-01-2023,Dhaka,3338,0
11-01-2023,Chittagong,912,0
11-01-2023,Khulna,1160,0
11-01-2023,Rajshahi,1003,0
11-01-2023,Comilla,843,0
11-01-2023,Mymensingh,844,0
11-01-2023,Sylhet,353,0
11-01-2023,Barisal,268,0
11-01-2023,Rangpur,652,0
12-01-2023,Dhaka,3262,120
12-01-2023,Chittagong,942,0
12-01-2023,Khulna,1173,12
12-01-2023,Rajshahi,971,0
12-01-2023,Comilla,838,0
12-01-2023,Mymensingh,870,155
12-01-2023,Sylhet,348,0
12-01-2023,Barisal,275,0
12-01-2023,Rangpur,628,112
13-01-2023,Dhaka,2849,0
13-01-2023,Chittagong,885,0
13-01-2023,Khulna,1100,0
13-01-2023,Rajshahi,918,0
13-01-2023,Comilla,740,0
13-01-2023,Mymensingh,826,0
13-01-2023,Sylhet,322,0
13-01-2023,Barisal,247,0
13-01-2023,Rangpur,621,0
14-01-2023,Dhaka,3296,53
14-01-2023,Chittagong,886,0
14-01-2023,Khulna,1168,43
14-01-2023,Rajshahi,990,37
14-01-2023,Comilla,723,38
14-01-2023,Mymensingh,856,39
14-01-2023,Sylhet,358,0
14-01-2023,Barisal,275,0
14-01-2023,Rangpur,645,24
15-01-2023,Dhaka,3073,0
15-01-2023,Chittagong,958,0
15-01-2023,Khulna,1205,136
15-01-2023,Rajshahi,998,107
15-01-2023,Comilla,839,0
15-01-2023,Mymensingh,864,87
15-01-2023,Sylhet,352,53
15-01-2023,Barisal,265,0
15-01-2023,Rangpur,676,113
16-01-2023,Dhaka,3322,314
16-01-2023,Chittagong,898,10
16-01-2023,Khulna,1157,237
16-01-2023,Rajshahi,999,138
16-01-2023,Comilla,806,0
16-01-2023,Mymensingh,878,62
16-01-2023,Sylhet,362,58
16-01-2023,Barisal,269,0
16-01-2023,Rangpur,703,133
17-01-2023,Dhaka,3343,102
17-01-2023,Chittagong,987,0
17-01-2023,Khulna,1195,171
17-01-2023,Rajshahi,1038,78
17-01-2023,Comilla,841,0
17-01-2023,Mymensingh,889,107
17-01-2023,Sylhet,361,0
17-01-2023,Barisal,272,0
17-01-2023,Rangpur,679,115
18-01-2023,Dhaka,3376,81
18-01-2023,Chittagong,942,0
18-01-2023,Khulna,1165,132
18-01-2023,Rajshahi,1036,134
18-01-2023,Comilla,822,0
18-01-2023,Mymensingh,963,90
18-01-2023,Sylhet,351,40
18-01-2023,Barisal,269,0
18-01-2023,Rangpur,692,107
19-01-2023,Dhaka,3440,41
19-01-2023,Chittagong,982,0
19-01-2023,Khulna,1191,40
19-01-2023,Rajshahi,966,180
19-01-2023,Comilla,799,0
19-01-2023,Mymensingh,868,150
19-01-2023,Sylhet,357,0
19-01-2023,Barisal,261,0
19-01-2023,Rangpur,704,0
20-01-2023,Dhaka,2892,0
20-01-2023,Chittagong,897,0
20-01-2023,Khulna,1087,0
20-01-2023,Rajshahi,962,0
20-01-2023,Comilla,810,0
20-01-2023,Mymensingh,895,49
20-01-2023,Sylhet,337,0
20-01-2023,Barisal,253,0
20-01-2023,Rangpur,653,0
21-01-2023,Dhaka,3232,0
21-01-2023,Chittagong,971,0
21-01-2023,Khulna,1125,0
21-01-2023,Rajshahi,1007,0
21-01-2023,Comilla,828,0
21-01-2023,Mymensingh,929,30
21-01-2023,Sylhet,359,0
21-01-2023,Barisal,276,0
21-01-2023,Rangpur,691,0
22-01-2023,Dhaka,3295,0
22-01-2023,Chittagong,984,0
22-01-2023,Khulna,1151,0
22-01-2023,Rajshahi,1005,101
22-01-2023,Comilla,844,0
22-01-2023,Mymensingh,929,150
22-01-2023,Sylhet,357,0
22-01-2023,Barisal,269,0
22-01-2023,Rangpur,694,50
23-01-2023,Dhaka,3444,0
23-01-2023,Chittagong,971,0
23-01-2023,Khulna,1112,0
23-01-2023,Rajshahi,1002,0
23-01-2023,Comilla,855,0
23-01-2023,Mymensingh,866,113
23-01-2023,Sylhet,347,0
23-01-2023,Barisal,277,0
23-01-2023,Rangpur,705,0
24-01-2023,Dhaka,3446,0
24-01-2023,Chittagong,1006,0
24-01-2023,Khulna,1135,0
24-01-2023,Rajshahi,1057,0
24-01-2023,Comilla,861,0
24-01-2023,Mymensingh,936,0
24-01-2023,Sylhet,360,0
24-01-2023,Barisal,284,0
24-01-2023,Rangpur,728,0
25-01-2023,Dhaka,3552,0
25-01-2023,Chittagong,948,0
25-01-2023,Khulna,1124,0
25-01-2023,Rajshahi,1023,0
25-01-2023,Comilla,830,0
25-01-2023,Mymensingh,937,0
25-01-2023,Sylhet,375,0
25-01-2023,Barisal,283,0
25-01-2023,Rangpur,725,0
26-01-2023,Dhaka,3665,22
26-01-2023,Chittagong,928,0
26-01-2023,Khulna,1142,0
26-01-2023,Rajshahi,1040,0
26-01-2023,Comilla,893,0
26-01-2023,Mymensingh,940,141
26-01-2023,Sylhet,362,0
26-01-2023,Barisal,273,0
26-01-2023,Rangpur,733,0
27-01-2023,Dhaka,3097,0
27-01-2023,Chittagong,874,0
27-01-2023,Khulna,1075,0
27-01-2023,Rajshahi,971,0
27-01-2023,Comilla,837,0
27-01-2023,Mymensingh,881,45
27-01-2023,Sylhet,325,0
27-01-2023,Barisal,265,0
27-01-2023,Rangpur,682,0
28-01-2023,Dhaka,3508,0
28-01-2023,Chittagong,960,0
28-01-2023,Khulna,1139,0
28-01-2023,Rajshahi,1037,0
28-01-2023,Comilla,876,0
28-01-2023,Mymensingh,917,90
28-01-2023,Sylhet,346,0
28-01-2023,Barisal,284,0
28-01-2023,Rangpur,706,0
29-01-2023,Dhaka,3633,0
29-01-2023,Chittagong,987,0
29-01-2023,Khulna,1168,0
29-01-2023,Rajshahi,1062,0
29-01-2023,Comilla,858,0
29-01-2023,Mymensingh,916,143
29-01-2023,Sylhet,363,0
29-01-2023,Barisal,270,0
29-01-2023,Rangpur,767,0
30-01-2023,Dhaka,3645,0
30-01-2023,Chittagong,995,0
30-01-2023,Khulna,1158,0
30-01-2023,Rajshahi,1052,0
30-01-2023,Comilla,854,0
30-01-2023,Mymensingh,922,153
30-01-2023,Sylhet,358,0
30-01-2023,Barisal,266,0
30-01-2023,Rangpur,774,0
31-01-2023,Dhaka,3648,30
31-01-2023,Chittagong,852,0
31-01-2023,Khulna,1140,0
31-01-2023,Rajshahi,1043,0
31-01-2023,Comilla,855,0
31-01-2023,Mymensingh,919,120
31-01-2023,Sylhet,367,0
31-01-2023,Barisal,270,0
31-01-2023,Rangpur,727,0
01-02-2023,Dhaka,3619,56
01-02-2023,Chittagong,1065,0
01-02-2023,Khulna,1150,0
01-02-2023,Rajshahi,1065,0
01-02-2023,Comilla,855,0
01-02-2023,Mymensingh,924,150
01-02-2023,Sylhet,358,14
01-02-2023,Barisal,275,0
01-02-2023,Rangpur,761,0
02-02-2023,Dhaka,3608,0
02-02-2023,Chittagong,990,0
02-02-2023,Khulna,1167,0
02-02-2023,Rajshahi,1063,0
02-02-2023,Comilla,879,0
02-02-2023,Mymensingh,934,188
02-02-2023,Sylhet,372,0
02-02-2023,Barisal,270,0
02-02-2023,Rangpur,771,0
03-02-2023,Dhaka,2988,0
03-02-2023,Chittagong,988,0
03-02-2023,Khulna,1094,0
03-02-2023,Rajshahi,995,0
03-02-2023,Comilla,806,0
03-02-2023,Mymensingh,913,62
03-02-2023,Sylhet,334,0
03-02-2023,Barisal,240,0
03-02-2023,Rangpur,707,0
04-02-2023,Dhaka,3524,0
04-02-2023,Chittagong,1018,0
04-02-2023,Khulna,1166,0
04-02-2023,Rajshahi,1061,0
04-02-2023,Comilla,865,0
04-02-2023,Mymensingh,960,173
04-02-2023,Sylhet,361,0
04-02-2023,Barisal,268,0
04-02-2023,Rangpur,713,0
05-02-2023,Dhaka,3636,0
05-02-2023,Chittagong,928,0
05-02-2023,Khulna,1176,0
