date,zone,demand_mw,load_shed_mw
2023-01-01,Barisal,260,0
2023-01-02,Barisal,255,0
2023-01-03,Barisal,265,0
2023-01-04,Barisal,273,0
2023-01-05,Barisal,262,0
2023-01-06,Barisal,259,0
2023-01-07,Barisal,275,0
2023-01-08,Barisal,262,0
2023-01-09,Barisal,269,0
2023-01-10,Barisal,273,0
2023-01-11,Barisal,268,0
2023-01-12,Barisal,275,0
2023-01-13,Barisal,247,0
2023-01-14,Barisal,275,0
2023-01-15,Barisal,265,0
2023-01-16,Barisal,269,0
2023-01-17,Barisal,272,0
2023-01-18,Barisal,269,0
2023-01-19,Barisal,261,0
2023-01-20,Barisal,253,0
2023-01-21,Barisal,276,0
2023-01-22,Barisal,269,0
2023-01-23,Barisal,277,0
2023-01-24,Barisal,284,0
2023-01-25,Barisal,283,0
2023-01-26,Barisal,273,0
2023-01-27,Barisal,265,0
2023-01-28,Barisal,284,0
2023-01-29,Barisal,270,0
2023-01-30,Barisal,266,0
2023-01-31,Barisal,270,0
2023-02-01,Barisal,275,0
2023-02-02,Barisal,270,0
2023-02-03,Barisal,240,0
2023-02-04,Barisal,268,0
2023-02-05,Barisal,265,0
2023-02-06,Barisal,278,0
2023-02-07,Barisal,276,0
2023-02-08,Barisal,271,0
2023-02-09,Barisal,281,0
2023-02-10,Barisal,269,0
2023-02-11,Barisal,274,0
2023-02-12,Barisal,289,0
2023-02-13,Barisal,278,0
2023-02-14,Barisal,272,0
2023-02-15,Barisal,271,0
2023-02-16,Barisal,278,0
2023-02-17,Barisal,260,0
2023-02-18,Barisal,278,0
2023-02-19,Barisal,284,0
2023-02-20,Barisal,282,0
2023-02-21,Barisal,276,0
2023-02-22,Barisal,298,0
2023-02-23,Barisal,299,0
2023-02-24,Barisal,291,0
2023-02-25,Barisal,311,0
2023-02-26,Barisal,283,0
2023-02-27,Barisal,294,0
2023-02-28,Barisal,303,0
2023-03-01,Barisal,292,0
2023-03-02,Barisal,300,0
2023-03-03,Barisal,288,0
2023-03-04,Barisal,318,0
2023-03-05,Barisal,303,0
2023-03-06,Barisal,304,0
