date,demand_mw,previous_load_shed,load_shed_3day_avg,load_shed_7day_avg,previous_demand,demand_3day_avg,demand_change,day_of_week,month,day_of_month,is_weekend,actual_next_day_risk,predicted_probability
2025-01-01,-0.9984896,-0.20488824,-0.15597185,-0.36379594,-0.07158414,-1.2457939,0.31971484,-0.30395022,0.485898,0.24745022,-0.06141063,0,0.02543869
2025-01-02,-1.3593206,-0.211213,-0.16272826,-0.39288968,-0.30858356,-1.3371902,-0.13930957,-0.54285806,0.46069497,0.33792365,-0.063328415,0,0.006615518
2025-01-03,-1.3175402,-0.22659303,-0.15659401,-0.40856814,-0.87629443,-1.2901089,-0.16115767,-0.4119857,0.44526654,-0.093046114,-0.055688694,0,0.0028853896
2025-01-04,-0.6746566,-0.21938768,-0.17769834,-0.3192011,-0.8893868,-1.1159233,0.104417875,0.13359727,0.53235793,-0.20087062,0.09712184,0,0.017592642
2025-01-05,-0.86213505,-0.21767724,-0.1605251,-0.35713094,-0.507526,-1.1944493,-0.07789833,0.68717176,0.7336336,-0.35706437,0.1172785,0,0.029620606
2025-01-06,-1.1041596,-0.23352267,-0.17160422,-0.37714678,-0.2709958,-1.4170159,-0.29107624,-0.307346,0.47829968,-0.4843351,-0.06810462,0,0.0039115376
2025-01-07,-0.90373486,-0.2168798,-0.16701311,-0.35053957,-0.029781342,-1.0555898,0.21932554,-0.21132123,0.51954466,-0.45395583,-0.083981775,0,0.017518543
2025-01-08,-1.2725371,-0.19105461,-0.11787847,-0.36337543,-0.20243765,-1.4699677,-0.23962544,-0.28955618,0.45815247,0.09725839,-0.06857134,0,0.007016199
2025-01-09,-1.1613841,-0.18481633,-0.116638385,-0.42749017,-0.26605982,-1.4167305,-0.29551715,-0.5778556,0.49773672,-0.05697712,-0.06810462,0,0.004647644
2025-01-10,-1.404278,-0.17978428,-0.12335999,-0.4784398,-0.35411024,-1.4138699,-0.18645194,-0.46910614,0.45009235,-0.06539614,-0.06877059,0,0.0037346077
2025-01-11,-0.5976915,-0.18613246,-0.13414954,-0.40477777,-0.8731392,-1.2403243,0.017051464,0.12682164,0.66128045,-0.059858035,0.091521,0,0.01999071
2025-01-12,-0.55090034,-0.1956162,-0.10289603,-0.3887803,0.34726945,-1.3413503,-0.124963574,0.86662465,0.8738,-0.0007121108,0.13589622,0,0.14498067
